City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Guerrero Negro,27.9769,-114.0611,69.17,35,0,20.13,MX,2022-01-21 01:27:02
Kapaa,22.0752,-159.319,80.47,75,0,11.5,US,2022-01-21 01:24:42
Saint-Philippe,-21.3585,55.7679,78.35,81,51,8.97,RE,2022-01-21 01:27:03
Bilibino,68.0546,166.4372,-28.17,82,4,3.38,RU,2022-01-21 01:27:03
Tasiilaq,65.6145,-37.6368,37.56,93,100,16.15,GL,2022-01-21 01:27:03
Chicama,-7.8447,-79.1469,66.74,74,63,8.46,PE,2022-01-21 01:27:04
Castro,-24.7911,-50.0119,66.58,90,93,3.62,BR,2022-01-21 01:27:04
Hilo,19.7297,-155.09,78.8,83,100,10.36,US,2022-01-21 01:25:23
Chokurdakh,70.6333,147.9167,-36.63,97,94,5.99,RU,2022-01-21 01:27:04
Ipixuna,-1.7625,-48.8043,80.55,95,11,3.06,BR,2022-01-21 01:27:05
Leningradskiy,69.3833,178.4167,-32.73,92,6,3.87,RU,2022-01-21 01:27:05
Hermanus,-34.4187,19.2345,59.9,85,0,9.51,ZA,2022-01-21 01:27:05
Areia Branca,-4.9561,-37.1369,81.68,69,100,15.9,BR,2022-01-21 01:27:06
Skelleftea,64.7507,20.9528,28.76,52,6,3.0,SE,2022-01-21 01:27:06
Port Elizabeth,-33.918,25.5701,72.1,83,100,17.27,ZA,2022-01-21 01:27:06
Hithadhoo,-0.6,73.0833,81.82,74,100,7.56,MV,2022-01-21 01:27:07
Nouadhibou,20.931,-17.0347,66.18,88,100,6.91,MR,2022-01-21 01:27:07
Torbay,47.6666,-52.7314,44.58,94,100,18.41,CA,2022-01-21 01:26:46
Rikitea,-23.1203,-134.9692,78.71,75,100,6.85,PF,2022-01-21 01:24:49
Narsaq,60.9167,-46.05,25.02,87,100,18.72,GL,2022-01-21 01:24:43
Lavrentiya,65.5833,-171.0,-17.25,93,5,11.1,RU,2022-01-21 01:27:08
Port Alfred,-33.5906,26.891,71.83,86,97,17.45,ZA,2022-01-21 01:27:08
Alofi,-19.0595,-169.9187,85.89,66,75,17.27,NU,2022-01-21 01:27:08
Juneau,58.3019,-134.4197,38.84,97,100,8.05,US,2022-01-21 01:27:09
Saint-Augustin,51.226,-58.6502,3.47,87,100,8.68,CA,2022-01-21 01:27:09
Pontes E Lacerda,-15.2261,-59.3353,75.56,80,22,1.57,BR,2022-01-21 01:27:09
San Quintin,30.4833,-115.95,63.64,58,0,5.5,MX,2022-01-21 01:27:10
Gejiu,23.306,103.1635,41.41,95,76,5.35,CN,2022-01-21 01:27:10
Ushuaia,-54.8,-68.3,58.66,51,0,9.22,AR,2022-01-21 01:24:06
Roseto Degli Abruzzi,42.6664,14.0227,45.19,91,9,4.59,IT,2022-01-21 01:27:10
Lata,40.1629,-8.3327,50.05,82,0,4.27,PT,2022-01-21 01:27:11
Cidreira,-30.1811,-50.2056,77.04,91,3,14.38,BR,2022-01-21 01:27:11
Wanning,18.8003,110.3967,70.09,80,88,6.29,CN,2022-01-21 01:27:11
Victoria,22.2855,114.1577,66.38,80,100,1.99,HK,2022-01-21 01:27:12
Bluff,-46.6,168.3333,58.8,76,100,17.67,NZ,2022-01-21 01:27:12
Tindivanam,12.25,79.65,68.27,84,100,2.33,IN,2022-01-21 01:27:12
Mimoso Do Sul,-21.0642,-41.3664,72.41,99,39,2.17,BR,2022-01-21 01:27:13
Pochutla,15.7432,-96.4661,78.62,80,2,3.58,MX,2022-01-21 01:27:13
Dingle,10.9995,122.6711,79.88,80,92,10.56,PH,2022-01-21 01:27:13
Nome,64.5011,-165.4064,5.07,72,100,16.11,US,2022-01-21 01:27:14
Baft,29.234,56.6057,31.44,60,0,1.88,IR,2022-01-21 01:27:14
Wiang Sa,8.6359,99.3666,82.02,85,25,1.88,TH,2022-01-21 01:27:14
Escanaba,45.7453,-87.0646,7.05,77,0,0.0,US,2022-01-21 01:27:15
Hobart,-42.8794,147.3294,81.27,40,20,1.01,AU,2022-01-21 01:26:14
Yellowknife,62.456,-114.3525,-10.68,77,100,23.02,CA,2022-01-21 01:24:34
Punta Arenas,-53.15,-70.9167,57.31,62,0,9.22,CL,2022-01-21 01:24:47
Atuona,-9.8,-139.0333,78.93,77,47,24.05,PF,2022-01-21 01:28:00
Zabid,14.1951,43.3152,75.27,77,93,11.45,YE,2022-01-21 01:28:15
Asau,46.4333,26.4,31.12,77,73,7.83,RO,2022-01-21 01:28:16
North Bend,43.4065,-124.2243,52.25,99,100,11.5,US,2022-01-21 01:28:16
Jiangyou,31.7667,104.7167,46.24,87,100,3.0,CN,2022-01-21 01:28:16
Merano,46.6682,11.1595,39.52,69,1,9.28,IT,2022-01-21 01:28:17
Saskylakh,71.9167,114.0833,-21.3,93,60,7.07,RU,2022-01-21 01:28:02
Dikson,73.5069,80.5464,4.68,94,100,13.47,RU,2022-01-21 01:28:17
Vaini,-21.2,-175.2,81.77,78,94,16.73,TO,2022-01-21 01:28:18
Constitucion,-35.3333,-72.4167,54.57,78,0,10.33,CL,2022-01-21 01:28:18
Albany,42.6001,-73.9662,15.28,63,27,13.0,US,2022-01-21 01:24:48
Talnakh,69.4865,88.3972,10.67,95,100,13.67,RU,2022-01-21 01:28:18
Ulaangom,49.9811,92.0667,-2.25,99,100,0.6,MN,2022-01-21 01:28:19
Mataura,-46.1927,168.8643,58.48,61,93,8.77,NZ,2022-01-21 01:28:19
Xining,36.6167,101.7667,23.88,44,0,1.23,CN,2022-01-21 01:26:26
Sira,13.7453,76.9092,65.68,51,77,5.66,IN,2022-01-21 01:28:19
Binzhou,37.3667,118.0167,26.22,64,18,6.64,CN,2022-01-21 01:28:20
Hasaki,35.7333,140.8333,39.6,46,1,19.62,JP,2022-01-21 01:28:20
Bengkulu,-3.8004,102.2655,75.6,86,100,3.87,ID,2022-01-21 01:28:20
Ostrovnoy,68.0531,39.5131,11.86,89,89,6.06,RU,2022-01-21 01:28:21
Lebu,-37.6167,-73.65,55.53,78,0,2.06,CL,2022-01-21 01:27:34
Tiksi,71.6872,128.8694,-14.04,96,61,10.18,RU,2022-01-21 01:28:21
Port-Gentil,-0.7193,8.7815,79.43,79,100,7.18,GA,2022-01-21 01:28:09
Khatanga,71.9667,102.5,-3.57,93,100,8.43,RU,2022-01-21 01:28:21
Norman Wells,65.282,-126.8329,-16.56,63,75,18.41,CA,2022-01-21 01:28:22
Meulaboh,4.1363,96.1285,76.77,85,15,3.89,ID,2022-01-21 01:28:22
Raudeberg,61.9875,5.1352,35.87,89,100,4.0,NO,2022-01-21 01:28:22
East London,-33.0153,27.9116,71.76,82,98,17.65,ZA,2022-01-21 01:28:23
Barrow,71.2906,-156.7887,-20.18,76,0,8.05,US,2022-01-21 01:28:23
Maxixe,-23.8597,35.3472,72.64,79,100,8.5,MZ,2022-01-21 01:28:23
Fairbanks,64.8378,-147.7164,1.09,79,0,11.5,US,2022-01-21 01:28:24
Upernavik,72.7868,-56.1549,-0.8,92,100,11.05,GL,2022-01-21 01:28:24
Aswan,24.0934,32.907,43.9,49,0,5.75,EG,2022-01-21 01:24:10
Alampur,15.8833,78.15,67.91,63,66,2.13,IN,2022-01-21 01:28:24
Ratangarh,28.0833,74.6,52.92,70,0,8.1,IN,2022-01-21 01:28:25
Sergeyevka,53.88,67.4158,3.65,93,100,3.38,KZ,2022-01-21 01:28:25
Xinpu,34.5997,119.1594,35.31,59,100,7.78,CN,2022-01-21 01:28:25
Lakes Entrance,-37.8811,147.981,77.58,54,0,6.26,AU,2022-01-21 01:28:26
Bethel,41.3712,-73.414,26.04,61,0,13.8,US,2022-01-21 01:28:26
Quatre Cocos,-20.2078,57.7625,80.71,83,41,13.89,MU,2022-01-21 01:28:26
Kodiak,57.79,-152.4072,38.71,87,100,25.32,US,2022-01-21 01:28:27
Kollam,8.8833,76.6,78.67,86,89,5.14,IN,2022-01-21 01:29:27
Zeerust,-25.5369,26.0751,65.21,57,6,5.3,ZA,2022-01-21 01:29:27
Chapais,49.7834,-74.8492,-22.22,100,24,4.34,CA,2022-01-21 01:28:22
Itaguai,-22.8522,-43.7753,80.28,89,40,4.61,BR,2022-01-21 01:28:04
Nantucket,41.2835,-70.0995,34.09,70,100,22.1,US,2022-01-21 01:26:12
Kuytun,54.3419,101.5036,-10.52,100,93,0.65,RU,2022-01-21 01:29:28
Bredasdorp,-34.5322,20.0403,58.28,93,0,3.44,ZA,2022-01-21 01:27:32
Bathsheba,13.2167,-59.5167,77.61,78,40,20.71,BB,2022-01-21 01:29:28
Henties Bay,-22.116,14.2845,68.86,88,100,4.25,NA,2022-01-21 01:29:29
Port Lincoln,-34.7333,135.8667,72.72,79,100,11.79,AU,2022-01-21 01:29:29
Lingao,19.9103,109.6859,67.96,80,19,12.55,CN,2022-01-21 01:29:29
Qaanaaq,77.484,-69.3632,16.36,86,100,2.59,GL,2022-01-21 01:29:29
Bereda,43.2686,-7.5406,46.92,98,7,8.41,ES,2022-01-21 01:29:30
New Norfolk,-42.7826,147.0587,80.91,30,8,1.99,AU,2022-01-21 01:29:30
Mahanoro,-19.9,48.8,72.5,87,100,9.98,MG,2022-01-21 01:29:30
Butaritari,3.0707,172.7902,81.84,72,100,17.56,KI,2022-01-21 01:24:44
Zarubino,42.63,131.0922,12.52,51,3,7.65,RU,2022-01-21 01:29:31
Novaya Igirma,57.1334,103.9112,-11.61,100,89,2.33,RU,2022-01-21 01:29:31
Fortuna,40.5982,-124.1573,55.42,92,75,1.99,US,2022-01-21 01:27:48
Boddam,57.4667,-1.7833,43.18,79,100,19.8,GB,2022-01-21 01:29:32
Anloga,5.7947,0.8973,73.62,59,21,2.73,GH,2022-01-21 01:29:32
Pachino,36.7186,15.0907,49.6,73,45,13.44,IT,2022-01-21 01:29:32
Iqaluit,63.7506,-68.5145,-27.31,74,40,1.99,CA,2022-01-21 01:29:33
Carnarvon,-24.8667,113.6333,98.67,23,0,14.97,AU,2022-01-21 01:27:59
Strezhevoy,60.7333,77.5889,13.98,95,100,7.36,RU,2022-01-21 01:29:33
Puerto Ayora,-0.7393,-90.3518,73.6,89,84,9.04,EC,2022-01-21 01:29:33
Mama,58.3106,112.8986,-8.37,97,98,5.35,RU,2022-01-21 01:29:34
Naze,28.3667,129.4833,58.12,59,100,13.02,JP,2022-01-21 01:29:34
Sinnamary,5.3833,-52.95,77.02,90,69,12.26,GF,2022-01-21 01:29:34
Vardo,70.3705,31.1107,30.65,77,98,32.99,NO,2022-01-21 01:29:35
Ust-Tsilma,65.441,52.1498,18.16,92,98,8.19,RU,2022-01-21 01:29:35
Digby,44.6169,-65.7655,24.31,79,100,15.14,CA,2022-01-21 01:29:35
Mehamn,71.0357,27.8492,26.47,78,100,23.44,NO,2022-01-21 01:29:36
Mapimi,25.8167,-103.85,57.97,43,98,8.12,MX,2022-01-21 01:29:36
Cape Town,-33.9258,18.4232,64.89,82,0,4.0,ZA,2022-01-21 01:25:01
Lorengau,-2.0226,147.2712,83.52,77,94,8.19,PG,2022-01-21 01:29:36
Te Anau,-45.4167,167.7167,64.02,57,84,2.77,NZ,2022-01-21 01:29:37
Los Llanos De Aridane,28.6585,-17.9182,60.55,88,0,4.0,ES,2022-01-21 01:29:37
Necochea,-38.5473,-58.7368,71.04,88,100,18.3,AR,2022-01-21 01:29:37
Mkushi,-13.6202,29.3939,63.16,97,100,3.65,ZM,2022-01-21 01:29:38
Kaitangata,-46.2817,169.8464,62.92,65,98,10.65,NZ,2022-01-21 01:29:38
Provideniya,64.3833,-173.3,1.51,60,0,15.66,RU,2022-01-21 01:29:38
Bahir Dar,11.5936,37.3908,58.84,56,62,1.79,ET,2022-01-21 01:29:39
Krasnoselkup,65.7,82.4667,8.55,94,95,15.93,RU,2022-01-21 01:30:39
Teguise,29.0605,-13.564,62.82,59,0,6.91,ES,2022-01-21 01:30:39
Ewa Beach,21.3156,-158.0072,82.35,65,0,5.99,US,2022-01-21 01:30:40
Snyder,32.7179,-100.9176,28.53,42,100,9.22,US,2022-01-21 01:30:40
Padang,-0.9492,100.3543,77.05,68,98,2.98,ID,2022-01-21 01:30:15
Batticaloa,7.7102,81.6924,71.91,75,79,5.41,LK,2022-01-21 01:30:40
Yaita,36.8,139.9333,28.69,53,99,10.33,JP,2022-01-21 01:30:41
Villazon,-22.0866,-65.5942,51.26,71,89,3.94,BO,2022-01-21 01:30:41
Puerto Madryn,-42.7692,-65.0385,65.93,95,61,13.8,AR,2022-01-21 01:30:41
Mayskiy,47.6931,40.1025,24.44,96,100,11.48,RU,2022-01-21 01:30:42
Gizo,-8.103,156.8419,78.6,86,100,5.91,SB,2022-01-21 01:30:42
Murray Bridge,-35.1167,139.2667,91.15,28,100,20.0,AU,2022-01-21 01:30:43
Utete,-7.986,38.758,73.54,98,100,1.9,TZ,2022-01-21 01:30:43
Anadyr,64.75,177.4833,-34.01,65,20,6.71,RU,2022-01-21 01:30:43
Hami,42.8,93.45,27.63,42,100,4.34,CN,2022-01-21 01:30:43
Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.18,98,100,2.57,BR,2022-01-21 01:30:44
Chuy,-33.6971,-53.4616,74.7,95,38,10.33,UY,2022-01-21 01:30:44
Saldanha,-33.0117,17.9442,60.85,86,0,12.84,ZA,2022-01-21 01:30:45
Saint George,37.1041,-113.5841,54.19,33,0,1.01,US,2022-01-21 01:26:11
Queanbeyan,-35.35,149.2333,72.37,62,100,10.36,AU,2022-01-21 01:30:45
Ayan,56.45,138.1667,-0.08,75,12,6.11,RU,2022-01-21 01:30:45
Ribeira Grande,38.5167,-28.7,63.0,82,40,9.22,PT,2022-01-21 01:30:46
Limon,10.0,-83.0333,76.68,80,12,3.13,CR,2022-01-21 01:30:46
Cherskiy,68.75,161.3,-38.72,99,19,1.59,RU,2022-01-21 01:30:46
Busselton,-33.65,115.3333,95.04,27,1,5.53,AU,2022-01-21 01:30:47
Yulara,-25.2406,130.9889,82.24,61,75,10.36,AU,2022-01-21 01:30:47
Amga,60.8953,131.9608,-24.29,96,76,1.68,RU,2022-01-21 01:30:47
Kenora,49.8167,-94.4337,-6.23,70,0,11.5,CA,2022-01-21 01:29:01
Maun,-19.9833,23.4167,74.48,50,99,8.68,BW,2022-01-21 01:30:48
Arraial Do Cabo,-22.9661,-42.0278,75.79,89,20,13.96,BR,2022-01-21 01:30:48
Sitka,57.0531,-135.33,39.09,93,100,9.22,US,2022-01-21 01:26:51
Jamestown,42.097,-79.2353,13.71,85,100,5.75,US,2022-01-21 01:26:55
Mar Del Plata,-38.0023,-57.5575,72.09,100,100,21.0,AR,2022-01-21 01:26:38
Swan Hill,-35.3378,143.5544,84.85,25,1,14.79,AU,2022-01-21 01:30:49
Lompoc,34.6391,-120.4579,67.14,82,0,5.75,US,2022-01-21 01:29:22
Jalu,29.0331,21.5482,51.3,56,6,5.88,LY,2022-01-21 01:30:49
Emba,48.8264,58.1442,1.42,93,61,6.51,KZ,2022-01-21 01:30:49
Samarai,-10.6167,150.6667,84.96,70,100,8.84,PG,2022-01-21 01:30:50
Calabozo,8.9242,-67.4293,82.27,42,20,7.31,VE,2022-01-21 01:30:50
Pyapon,16.2833,95.6833,73.83,73,78,5.32,MM,2022-01-21 01:30:50
Awjilah,29.1081,21.2869,51.13,59,6,3.69,LY,2022-01-21 01:30:51
Kondinskoye,59.6481,67.41,12.49,94,99,11.16,RU,2022-01-21 01:30:51
Pacific Grove,36.6177,-121.9166,63.57,85,0,4.0,US,2022-01-21 01:30:27
Isangel,-19.55,169.2667,84.31,84,75,4.61,VU,2022-01-21 01:30:52
Longyearbyen,78.2186,15.6401,10.24,67,20,2.3,SJ,2022-01-21 01:30:52
Lensk,60.7253,114.9278,9.36,94,100,5.95,RU,2022-01-21 01:30:52
Sao Filipe,14.8961,-24.4956,72.82,78,100,4.09,CV,2022-01-21 01:31:53
Santa Rosa,14.3122,121.1114,82.38,71,53,10.96,PH,2022-01-21 01:31:53
Grand Gaube,-20.0064,57.6608,81.0,87,31,5.99,MU,2022-01-21 01:31:53
Deputatskiy,69.3,139.9,-19.88,76,46,6.13,RU,2022-01-21 01:31:54
Kankan,10.3854,-9.3057,68.61,18,37,4.72,GN,2022-01-21 01:31:54
Santa Cruz,-17.8,-63.1667,76.46,83,89,5.75,BO,2022-01-21 01:28:43
Yueyang,29.3333,113.0919,46.08,88,100,9.1,CN,2022-01-21 01:31:55
Charters Towers,-20.1,146.2667,92.79,32,24,17.43,AU,2022-01-21 01:31:55
Kavieng,-2.5744,150.7967,82.58,73,100,3.11,PG,2022-01-21 01:31:55
Tuktoyaktuk,69.4541,-133.0374,-20.2,69,75,16.11,CA,2022-01-21 01:31:56
Thompson,55.7435,-97.8558,-3.84,71,75,11.5,CA,2022-01-21 01:31:56
Kabirwala,30.4068,71.8667,49.86,74,0,4.5,PK,2022-01-21 01:31:56
Touros,-5.1989,-35.4608,81.5,73,62,8.9,BR,2022-01-21 01:31:57
Ancud,-41.8697,-73.8203,56.73,89,11,8.97,CL,2022-01-21 01:31:57
Yorosso,12.3536,-4.7761,66.54,17,26,10.45,ML,2022-01-21 01:31:57
Lagoa,39.05,-27.9833,61.0,87,100,19.64,PT,2022-01-21 01:31:58
Atar,20.5169,-13.0499,71.24,15,100,9.08,MR,2022-01-21 01:31:58
Pedernales,18.0384,-71.744,76.73,64,0,6.89,DO,2022-01-21 01:31:58
Korla,41.7597,86.1469,26.55,49,9,3.85,CN,2022-01-21 01:31:59
Cururupu,-1.8283,-44.8683,75.11,93,11,3.56,BR,2022-01-21 01:31:59
Tessalit,20.1986,1.0114,55.09,22,0,10.74,ML,2022-01-21 01:31:59
Karaton,-6.3424,106.1045,81.95,82,100,4.07,ID,2022-01-21 01:31:59
Georgetown,5.4112,100.3354,82.33,88,20,5.01,MY,2022-01-21 01:30:15
Koboko,3.4136,30.9599,66.88,34,81,5.32,UG,2022-01-21 01:32:00
Port Hardy,50.6996,-127.4199,44.76,93,40,5.75,CA,2022-01-21 01:32:00
Suclayin,15.7568,121.5503,72.45,95,100,2.24,PH,2022-01-21 01:32:01
Half Moon Bay,37.4636,-122.4286,63.59,74,0,1.01,US,2022-01-21 01:32:01
Cedar City,37.6775,-113.0619,38.37,45,0,0.0,US,2022-01-21 01:32:01
Iquique,-20.2208,-70.1431,71.64,83,98,1.77,CL,2022-01-21 01:30:33
Alice Springs,-23.7,133.8833,93.22,42,64,5.01,AU,2022-01-21 01:30:11
Hovd,48.0056,91.6419,9.1,95,100,2.68,MN,2022-01-21 01:32:02
Lovozero,68.005,35.0117,12.34,98,74,8.5,RU,2022-01-21 01:32:02
Awbari,26.5921,12.7805,47.12,57,0,6.49,LY,2022-01-21 01:32:03
Eyl,7.9803,49.8164,71.94,83,76,16.31,SO,2022-01-21 01:32:03
Concepcion Del Oro,24.6333,-101.4167,57.09,32,100,5.7,MX,2022-01-21 01:32:03
Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,59,75,2.24,RU,2022-01-21 01:32:03
Russell,32.3502,-85.1999,43.88,88,100,11.5,US,2022-01-21 01:32:04
Airai,-8.9266,125.4092,61.47,98,100,3.74,TL,2022-01-21 01:32:04
Vila Franca Do Campo,37.7167,-25.4333,61.21,84,7,14.92,PT,2022-01-21 01:32:04
Severodvinsk,64.5635,39.8302,32.11,98,100,8.34,RU,2022-01-21 01:32:05
Zhezkazgan,47.8043,67.7144,21.18,86,100,8.95,KZ,2022-01-21 01:32:05
Vallenar,-28.5708,-70.7581,74.41,39,0,3.27,CL,2022-01-21 01:32:05
Road Town,18.4167,-64.6167,77.04,88,40,14.97,VG,2022-01-21 01:32:06
Bath,51.3779,-2.3591,34.34,89,10,3.6,GB,2022-01-21 01:29:45
Mitu,1.1983,-70.1733,73.02,95,100,2.68,CO,2022-01-21 01:29:12
Morro Bay,35.3658,-120.8499,67.19,75,0,3.4,US,2022-01-21 01:30:09
Qui Nhon,13.7667,109.2333,71.46,83,98,7.65,VN,2022-01-21 01:31:25
Rurrenabaque,-14.4413,-67.5278,73.78,96,100,1.41,BO,2022-01-21 01:33:06
